,Symbol,Holdings,Stake,Mkt. price,Value,Pct of portfolio
Activision Blizzard Inc,ATVI,"52,717,075",6.70%,$85.22 ,"$4,492,549,132 ",1.30%
Ally Financial Inc,ALLY,"29,800,000",9.90%,$26.06 ,"$776,588,000 ",0.20%
"Amazon.com, Inc.",AMZN,"10,666,000",0.10%,$102.06 ,"$1,088,571,960 ",0.30%
American Express Company,AXP,"151,610,700",20.40%,$158.83 ,"$24,080,327,481 ",7.10%
Aon PLC,AON,"4,396,000",2.10%,$322.05 ,"$1,415,731,800 ",0.40%
Apple Inc,AAPL,"915,560,382",5.80%,$164.66 ,"$150,756,172,500 ",44.40%
Bank of America Corp,BAC,"1,032,852,006",12.90%,$27.84 ,"$28,754,599,847 ",8.50%
Bank of New York Mellon Corp,BK,"25,069,867",3.10%,$44.85 ,"$1,124,383,535 ",0.30%
BYD Co. Ltd,BYDDF,"130,327,642",11.90%,$29.16 ,"$3,800,354,041 ",1.10%
Celanese Corporation,CE,"9,710,183",8.80%,$106.03 ,"$1,029,570,703 ",0.30%
Charter Communications Inc,CHTR,"3,828,941",2.30%,$350.27 ,"$1,341,163,164 ",0.40%
Chevron Corporation,CVX,"167,353,771",8.80%,$167.65 ,"$28,056,859,708 ",8.30%
Citigroup Inc,C,"55,244,797",2.80%,$45.86 ,"$2,533,526,390 ",0.70%
Coca-Cola Co,KO,"400,000,000",9.20%,$62.84 ,"$25,136,000,000 ",7.40%
Davita Inc,DVA,"36,095,570",39.90%,$82.47 ,"$2,976,801,658 ",0.90%
Diageo plc,DEO,"227,750",0.00%,$185.36 ,"$42,215,740 ",0.00%
Floor & Decor Holdings Inc,FND,"4,780,000",4.50%,$92.38 ,"$441,576,400 ",0.10%
General Motors Company,GM,"50,000,000",3.60%,$34.59 ,"$1,729,500,000 ",0.50%
Globe Life Inc,GL,"6,353,727",6.60%,$107.74 ,"$684,550,547 ",0.20%
HP Inc,HPQ,"120,952,818",12.30%,$29.29 ,"$3,542,708,039 ",1.00%
Itochu Corporation,ITOCF,"98,380,800",6.20%,$31.26 ,"$3,075,383,808 ",0.90%
Jefferies Financial Group Inc,JEF,"433,558",0.20%,$31.42 ,"$13,622,392 ",0.00%
Johnson & Johnson,JNJ,"327,100",0.00%,$165.15 ,"$54,020,565 ",0.00%
Kraft Heinz Co,KHC,"325,634,818",26.50%,$39.14 ,"$12,745,346,777 ",3.80%
Kroger Co,KR,"50,000,000",7.00%,$48.52 ,"$2,426,000,000 ",0.70%
Liberty Latin America Ltd Class A,LILA,"2,630,792",5.90%,$8.01 ,"$21,072,644 ",0.00%
Liberty Latin America Ltd Class C,LILAK,"1,284,020",0.70%,$7.98 ,"$10,246,480 ",0.00%
Liberty Media Corp Series C,FWONK,"7,722,451",3.70%,$74.33 ,"$574,009,783 ",0.20%
Liberty Media Corp Series A,LSXMA,"20,207,680",20.60%,$28.30 ,"$571,877,344 ",0.20%
Liberty Media Corp Series C,LSXMK,"43,208,291",19.80%,$28.16 ,"$1,216,745,475 ",0.40%
Louisiana-Pacific Corp,LPX,"7,044,909",9.80%,$54.00 ,"$380,425,086 ",0.10%
Markel Corp,MKL,"471,661",3.50%,"$1,318.71 ","$621,984,077 ",0.20%
Marsh & McLennan Companies Inc,MMC,"404,911",0.10%,$169.38 ,"$68,583,825 ",0.00%
Mastercard Inc,MA,"3,986,648",0.40%,$361.47 ,"$1,441,053,653 ",0.40%
McKesson Corp,MCK,"2,855,514",2.10%,$370.09 ,"$1,056,797,176 ",0.30%
MONDELEZ INTERNATIONAL INC Common Stock,MDLZ,"578,000",0.00%,$71.05 ,"$41,066,900 ",0.00%
Moody’s Corp,MCO,"24,669,778",13.50%,$298.62 ,"$7,366,889,106 ",2.20%
Nu Holdings Ltd,NU,"107,118,784",2.30%,$4.48 ,"$479,892,152 ",0.10%
Occidental Petroleum Corporation,OXY,"211,707,119",23.60%,$63.04 ,"$13,346,016,782 ",3.90%
Paramount Global Class B,PARA,"93,637,189",15.30%,$21.66 ,"$2,028,181,514 ",0.60%
Procter & Gamble Co,PG,"315,400",0.00%,$152.22 ,"$48,010,188 ",0.00%
RH,RH,"2,360,000",10.70%,$236.93 ,"$559,154,800 ",0.20%
Snowflake Inc,SNOW,"6,125,376",1.90%,$145.68 ,"$892,344,776 ",0.30%
SPDR S&P 500 ETF Trust,SPY,"39,400",0.00%,$409.19 ,"$16,122,086 ",0.00%
StoneCo Ltd,STNE,"10,695,448",3.40%,$8.95 ,"$95,724,260 ",0.00%
Taiwan Semiconductor Mfg. Co. Ltd.,TSM,"8,292,724",0.20%,$90.24 ,"$748,335,414 ",0.20%
T-Mobile Us Inc,TMUS,"5,242,000",0.40%,$149.61 ,"$784,255,620 ",0.20%
"United Parcel Service, Inc.",UPS,"59,400",0.00%,$188.58 ,"$11,201,652 ",0.00%
US Bancorp,USB,"8,098,178",0.50%,$35.75 ,"$289,509,864 ",0.10%
Vanguard 500 Index Fund ETF,VOO,"43,000",0.00%,$375.95 ,"$16,165,850 ",0.00%
"Verisign, Inc.",VRSN,"12,815,613",12.20%,$213.06 ,"$2,730,494,506 ",0.80%
Visa Inc,V,"8,297,460",0.20%,$225.99 ,"$1,875,142,985 ",0.60%
TOTAL,,,,,"$339,409,428,184 ",99.80%
