symbol,weight,Price,Remark
SPET+GPP,0.458,0,Known 404 Pattern
SPET+NPP,0.352,0,Known 404 Pattern
SPET+PP,0.294,0,Known 404 Pattern
FANH-PP,0.207,0,Known 404 Pattern
CNTTC-PP,0.116,0,Known 404 Pattern
SPET+HPP,0.099,0,Known 404 Pattern
EPG-PP,0.098,0,Known 404 Pattern
ZENP+DPP,0.076,0,Known 404 Pattern
CVTHC-PP,0.063,0,Known 404 Pattern
TANM-PP,0.057,0,Known 404 Pattern
RED+FPP,0.036,0,Known 404 Pattern
ZLIN,0.032,0,Known 404 Symbol
ZIPL+EPP,0.031,0,Known 404 Pattern
RESP+DPP,0.03,0,Known 404 Pattern
NURO+CPP,0.027,0,Known 404 Pattern
LYRA+EPP,0.022,0,Known 404 Pattern
BETA+BPP,0.022,0,Known 404 Pattern
DPLX+DPP,0.022,0,Known 404 Pattern
XHLD1-PP,0.021,0,Known 404 Pattern
SMAT+EPP,0.014,0,Known 404 Pattern
ZIPL-PP,0.012,0,Known 404 Pattern
ELB+CPP,0.011,0,Known 404 Pattern
SPEC+PP,0.011,0,Known 404 Pattern
RADP-TMP,0.011,0,Known 404 Pattern
STRPE-PP,0.011,0,Known 404 Pattern
ACR+BPP,0.01,0,Known 404 Pattern
GBN+HPP,0.01,0,Known 404 Pattern
RAD+DPP,0.01,0,Known 404 Pattern
CAR+DPP,0.009,0,Known 404 Pattern
ZENP-PP,0.009,0,Known 404 Pattern
RESP+EPP,0.009,0,Known 404 Pattern
GBN+GPP,0.008,0,Known 404 Pattern
ASAC-PP,0.007,0,Known 404 Pattern
RED+E-PP,0.007,0,Known 404 Pattern
ASA+CPP,0.006,0,Known 404 Pattern
DSCR+IPP,0.006,0,Known 404 Pattern
RAD+CPP,0.005,0,Known 404 Pattern
NURO+DPP,0.005,0,Known 404 Pattern
ZENP+EPP,0.005,0,Known 404 Pattern
BWR+C1PP,0.005,0,Known 404 Pattern
STRP+HPP,0.004,0,Known 404 Pattern
RAD+APP,0.001,0,Known 404 Pattern
LYRA+FPP,0.001,0,Known 404 Pattern
CAR+EPP,0.001,0,Known 404 Pattern
HEA+BPP,0,0,Known 404 Pattern
ITCA-PP,0,0,Known 404 Pattern
ITCA-WT,0,0,Known 404 Pattern
FNV-TO,0.544,0,Known 404 Pattern
RY-TO,0.492,0,Known 404 Pattern
IVN-TO,0.36,0,Known 404 Pattern
CNQ-TO,0.315,0,Known 404 Pattern
CP-TO,0.211,0,Known 404 Pattern
TD-TO,0.192,0,Known 404 Pattern
*UMG,0.179,0,Known 404 Pattern
*LOTMP,0.158,0,Known 404 Pattern
BTO-TO,0.156,0,Known 404 Pattern
IFC-TO,0.125,0,Known 404 Pattern
*TYMT,0.123,0,Known 404 Pattern
*STARLGD,0.116,0,Known 404 Pattern
FFH-TO,0.107,0,Known 404 Pattern
IVNA-TO,0.106,0,Known 404 Pattern
*DGE,0.071,0,Known 404 Pattern
*ABIV,0.068,0,Known 404 Pattern
HIEX+APP,0.064,0,Known 404 Pattern
*TOTO,0.057,0,Known 404 Pattern
ATD-TO,0.057,0,Known 404 Pattern
ABX-TO,0.052,0,Known 404 Pattern
*BIRG,0.049,0,Known 404 Pattern
*RHLD,0.048,0,Known 404 Pattern
WPM-TO,0.045,0,Known 404 Pattern
*BSCH,0.045,0,Known 404 Pattern
NG-TO,0.042,0,Known 404 Pattern
*GLNR,0.042,0,Known 404 Pattern
CIF+EPP,0.038,0,Known 404 Pattern
CVE-TO,0.037,0,Known 404 Pattern
*DEROO,0.035,0,Known 404 Pattern
*STLA,0.034,0,Known 404 Pattern
*RPD-TMP,0.026,0,Known 404 Pattern
*STMNS,0.026,0,Known 404 Pattern
DOL-TO,0.024,0,Known 404 Pattern
CIF+FPP,0.023,0,Known 404 Pattern
*NOVB,0.021,0,Known 404 Pattern
TOU-TO,0.02,0,Known 404 Pattern
*ADYN,0.018,0,Known 404 Pattern
*DOCS,0.015,0,Known 404 Pattern
*AIBIR,0.015,0,Known 404 Pattern
*EVOGA,0.015,0,Known 404 Pattern
SHOP-TO,0.014,0,Known 404 Pattern
TNS+C1PP,0.012,0,Known 404 Pattern
GFL-TO,0.01,0,Known 404 Pattern
SU-TO,0.01,0,Known 404 Pattern
SBB-TO,0.01,0,Known 404 Pattern
*OREAF-E,0.01,0,Known 404 Pattern
*PAPP,0.01,0,Known 404 Pattern
*INDTR,0.009,0,Known 404 Pattern
QSR-TO,0.008,0,Known 404 Pattern
BIR-TO,0.006,0,Known 404 Pattern
*NAMB,0.004,0,Known 404 Pattern
*CLQ,0.003,0,Known 404 Pattern
BN-TO,0.003,0,Known 404 Pattern
BAM-TO,0.002,0,Known 404 Pattern
*GNMB,0.002,0,Known 404 Pattern
*CNQ,0.001,0,Known 404 Pattern
BNRE-TO,0,0,Known 404 Pattern
BY+E1PP,0.138,0,Known 404 Pattern
*HYDM,0.093,0,Known 404 Pattern
*RELID,0.036,0,Known 404 Pattern
*ZAILAB,0.026,0,Known 404 Pattern
*LSTBD,0.01,0,Known 404 Pattern
*VAMO3,0,0,Known 404 Pattern
%TNSPP,0.011,0,Known 404 Pattern
%ITC21P,0,0,Known 404 Pattern
CF-TAXMM,2.518,0,Known 404 Pattern
